125,75,50,120
175,75,50,120
225,75,50,120
275,75,50,120
325,75,50,120
375,75,50,120
425,75,50,120
475,75,50,120
525,75,50,120
575,75,50,120
625,75,50,120
675,75,50,120
725,75,50,120
775,75,50,120
825,75,50,120
875,75,50,120
925,75,50,120
975,75,50,120
1025,75,50,120
1075,75,50,120
1125,75,50,120
1175,75,50,120
1225,75,50,120
125,225,50,120
175,225,50,120
225,225,50,120
275,225,50,120
325,225,50,120
375,225,50,120
425,225,50,120
475,225,50,120
525,225,50,120
575,225,50,120
625,225,50,120
675,225,50,120
725,225,50,120
775,225,50,120
825,225,50,120
875,225,50,120
925,225,50,120
975,225,50,120
1025,225,50,120
1075,225,50,120
1125,225,50,120
1175,225,50,120
1225,225,50,120
125,375,50,120
175,375,50,120
225,375,50,120
275,375,50,120
325,375,50,120
375,375,50,120
425,375,50,120
475,375,50,120
525,375,50,120
575,375,50,120
625,375,50,120
675,375,50,120
725,375,50,120
775,375,50,120
825,375,50,120
875,375,50,120
925,375,50,120
975,375,50,120
1025,375,50,120
1075,375,50,120
1125,375,50,120
1175,375,50,120
1225,375,50,120
125,525,50,120
175,525,50,120
225,525,50,120
275,525,50,120
325,525,50,120
375,525,50,120
425,525,50,120
475,525,50,120
525,525,50,120
575,525,50,120
625,525,50,120
675,525,50,120
725,525,50,120
775,525,50,120
825,525,50,120
875,525,50,120
925,525,50,120
975,525,50,120
1025,525,50,120
1075,525,50,120
1125,525,50,120
1175,525,50,120
1225,525,50,120
